episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
13500,13500,118126,2.356e-07,0.000e+00,0.000e+00,0.000e+00,2.356e-07,0.000e+00,0.000e+00,2.356e-07,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,2.356e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
14000,14000,122813,-4.000e-01,-1.000e+00,3.000e-01,2.800e+00,6.000e-01,0.000e+00,6.000e-01,6.749e-08,1.375e-06,3.000e+01,9.257e+00,-1.162e-01,1.400e+00,2.000e+00,0.000e+00,4.700e+00,0.000e+00,6.000e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.209e+01,2.197e-01,4.70
14500,14500,127431,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,1.692e-06,0.000e+00,0.000e+00,0.000e+00,1.692e-06,0.000e+00,1.286e+01,-7.778e-02,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,1.692e-06,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
15000,15000,132131,1.216e-07,0.000e+00,0.000e+00,0.000e+00,1.216e-07,0.000e+00,0.000e+00,1.216e-07,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,1.216e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
15500,15500,136839,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,1.006e-06,0.000e+00,0.000e+00,0.000e+00,1.006e-06,0.000e+00,1.286e+01,-7.778e-02,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,1.006e-06,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
16000,16000,141437,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,1.877e-06,0.000e+00,0.000e+00,0.000e+00,1.877e-06,0.000e+00,1.286e+01,-7.778e-02,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,1.877e-06,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
16500,16500,146128,5.866e-08,0.000e+00,0.000e+00,0.000e+00,5.866e-08,0.000e+00,0.000e+00,5.866e-08,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,4.900e+00,0.000e+00,5.866e-08,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.273e+01,-7.864e-02,5.00
17000,17000,150828,1.000e-01,1.000e-01,0.000e+00,4.600e+00,6.553e-07,0.000e+00,0.000e+00,0.000e+00,6.553e-07,1.000e+01,1.183e+01,3.189e-01,-1.000e+00,-1.000e+00,1.000e-01,4.500e+00,0.000e+00,6.553e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.157e+01,-7.000e-02,4.60
17500,17500,155426,-1.100e+00,-1.300e+00,1.000e-01,4.500e+00,2.000e-01,0.000e+00,2.000e-01,1.532e-08,3.798e-07,1.000e+01,1.183e+01,-1.400e-01,-2.000e-01,0.000e+00,0.000e+00,4.800e+00,0.000e+00,2.000e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.234e+01,4.667e-02,4.80
18000,18000,160090,3.268e-08,0.000e+00,0.000e+00,0.000e+00,3.268e-08,0.000e+00,0.000e+00,3.268e-08,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,4.900e+00,0.000e+00,3.268e-08,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.273e+01,-7.864e-02,5.00
18500,18500,164735,-1.000e+00,-1.000e+00,0.000e+00,4.900e+00,2.045e-07,0.000e+00,0.000e+00,1.346e-09,2.032e-07,0.000e+00,1.273e+01,-7.864e-02,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,2.045e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
19000,19000,169370,1.640e-08,0.000e+00,0.000e+00,0.000e+00,1.640e-08,0.000e+00,0.000e+00,1.640e-08,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,1.640e-08,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
