episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
2500,2500,16283,3.280e+00,1.500e+00,4.000e-01,3.990e+00,1.510e+00,3.988e+00,6.672e-04,5.262e-04,1.000e+02,7.848e+00,8.000e-01,1.000e+00,2.835e+00,2.187e+00,2.580e+00,5.438e-03,2.497e-01,0.000e+00,-4.127e+00,2.000e+00,0.000e+00,2.396e-01,3.367e+00,2.396e-01,0.000e+00,0.000e+00,0.000e+00,2.00
2600,2600,16775,3.763e+00,1.600e+00,4.000e-01,4.842e+00,1.879e+00,4.815e+00,6.404e-04,2.647e-02,1.000e+02,8.434e+00,8.000e-01,8.000e-01,3.652e+00,2.618e+00,2.932e+00,5.094e-02,6.687e-01,0.000e+00,-5.097e+00,2.200e+00,1.000e-01,4.721e-01,4.469e+00,4.721e-01,0.000e+00,2.571e-06,0.000e+00,2.30
2700,2700,17244,1.586e+00,1.400e+00,3.000e-01,4.159e+00,6.732e-01,4.138e+00,1.590e-02,5.489e-03,8.000e+01,6.215e+00,5.000e-01,1.400e+00,1.357e+00,2.142e+00,1.140e+00,2.076e-02,1.961e-01,0.000e+00,-3.901e+00,2.100e+00,0.000e+00,6.828e-02,2.769e+00,6.819e-02,9.665e-05,0.000e+00,0.000e+00,2.20
2800,2800,17735,3.532e+00,2.000e+00,2.000e-01,6.426e+00,1.693e+00,6.425e+00,0.000e+00,8.067e-04,1.000e+02,1.038e+01,1.100e+00,1.000e+00,4.584e+00,3.509e+00,3.647e+00,1.144e-03,9.364e-01,0.000e+00,-6.808e+00,2.000e+00,0.000e+00,1.712e-01,5.979e+00,1.712e-01,3.541e-05,0.000e+00,0.000e+00,2.20
2900,2900,18258,2.061e+00,1.400e+00,3.000e-01,4.150e+00,6.882e-01,4.147e+00,9.847e-07,2.351e-03,1.000e+02,8.883e+00,1.000e-01,1.300e+00,1.460e+00,2.077e+00,3.895e-01,1.415e-01,9.292e-01,0.000e+00,-3.845e+00,1.800e+00,0.000e+00,1.398e-01,2.985e+00,1.398e-01,0.000e+00,0.000e+00,0.000e+00,1.80
3000,3000,18789,-2.920e+00,2.300e+00,3.000e-01,3.517e-01,2.771e+00,3.517e-01,6.347e-06,8.583e-06,9.000e+01,1.020e+01,1.200e+00,1.200e+00,4.079e+00,2.747e-01,3.829e+00,1.395e-01,1.106e-01,0.000e+00,-2.584e+00,2.800e+00,1.000e-01,4.125e-01,1.797e+00,4.125e-01,0.000e+00,3.194e-05,0.000e+00,2.90
3100,3100,19257,-3.102e+00,1.800e+00,6.000e-01,4.314e-01,2.833e+00,4.313e-01,9.382e-06,2.730e-05,8.000e+01,6.523e+00,1.300e+00,8.000e-01,4.236e+00,2.127e-01,3.917e+00,6.491e-02,2.538e-01,0.000e+00,3.782e-01,2.100e+00,4.000e-01,7.399e-01,2.362e+00,7.395e-01,4.722e-05,3.271e-04,0.000e+00,2.60
3200,3200,19744,-9.108e-01,1.500e+00,8.000e-01,1.975e+00,2.186e+00,1.973e+00,9.585e-04,1.426e-03,9.000e+01,8.641e+00,1.000e+00,1.100e+00,4.101e+00,1.160e+00,3.445e+00,9.013e-02,5.654e-01,0.000e+00,-2.630e+00,2.500e+00,1.000e-01,3.413e-01,3.071e+00,3.412e-01,2.190e-05,9.913e-05,0.000e+00,2.70
3300,3300,20206,3.216e+00,1.900e+00,1.000e-01,5.781e+00,1.065e+00,5.747e+00,3.192e-02,1.927e-03,1.000e+02,8.730e+00,7.000e-01,1.400e+00,2.841e+00,3.011e+00,2.151e+00,1.810e-01,5.086e-01,0.000e+00,-6.046e+00,2.100e+00,2.000e-01,5.894e-02,4.605e+00,5.889e-02,4.598e-05,5.297e-06,0.000e+00,2.50
3400,3400,20686,4.946e+00,2.200e+00,1.000e-01,8.007e+00,1.961e+00,8.000e+00,4.352e-03,2.410e-03,1.000e+02,1.007e+01,1.100e+00,1.100e+00,4.731e+00,3.959e+00,4.015e+00,2.595e-02,6.899e-01,0.000e+00,-7.918e+00,2.100e+00,1.000e-01,7.611e-02,6.894e+00,7.610e-02,7.138e-06,3.030e-06,0.000e+00,2.40
3500,3500,21154,3.791e+00,1.800e+00,2.000e-01,6.307e+00,1.316e+00,6.304e+00,0.000e+00,3.339e-03,1.000e+02,9.548e+00,6.000e-01,1.200e+00,3.403e+00,3.154e+00,2.369e+00,7.921e-02,9.547e-01,0.000e+00,-6.340e+00,1.900e+00,1.000e-01,1.269e-01,5.367e+00,1.269e-01,0.000e+00,1.119e-06,0.000e+00,2.00
3600,3600,21613,4.821e+00,1.400e+00,4.000e-01,5.038e+00,1.317e+00,5.036e+00,0.000e+00,1.866e-03,1.000e+02,6.470e+00,7.000e-01,8.000e-01,2.796e+00,2.526e+00,2.612e+00,9.679e-03,1.740e-01,0.000e+00,-3.891e+00,1.700e+00,1.000e-01,8.575e-02,4.076e+00,8.572e-02,0.000e+00,2.522e-05,0.000e+00,1.80
3700,3700,22042,4.228e+00,1.800e+00,1.000e-01,6.440e+00,1.112e+00,6.439e+00,0.000e+00,5.060e-04,1.000e+02,7.976e+00,6.000e-01,1.000e+00,2.725e+00,3.249e+00,2.226e+00,5.262e-02,4.464e-01,0.000e+00,-4.904e+00,1.600e+00,3.000e-01,6.088e-02,4.865e+00,6.085e-02,0.000e+00,2.226e-05,0.000e+00,1.90
3800,3800,22465,3.732e+00,1.400e+00,0.000e+00,5.276e+00,5.438e-01,5.276e+00,0.000e+00,0.000e+00,1.000e+02,8.134e+00,2.000e-01,1.100e+00,1.212e+00,2.777e+00,7.935e-01,1.041e-02,4.079e-01,0.000e+00,-4.367e+00,1.300e+00,1.000e-01,1.904e-02,3.186e+00,1.904e-02,0.000e+00,2.220e-07,0.000e+00,1.40
3900,3900,22933,3.025e+00,1.800e+00,2.000e-01,5.946e+00,2.820e+00,5.945e+00,0.000e+00,7.961e-04,1.000e+02,9.324e+00,9.000e-01,8.000e-01,5.373e+00,3.349e+00,3.547e+00,3.407e-02,1.792e+00,0.000e+00,-5.049e+00,1.900e+00,1.000e-01,1.613e-01,5.310e+00,1.613e-01,0.000e+00,6.744e-05,0.000e+00,2.00
4000,4000,23369,2.633e+00,1.600e+00,3.000e-01,4.933e+00,1.100e+00,4.933e+00,0.000e+00,3.387e-04,1.000e+02,8.507e+00,5.000e-01,1.100e+00,2.529e+00,2.422e+00,1.768e+00,2.128e-02,7.390e-01,0.000e+00,-4.140e+00,1.500e+00,3.000e-01,1.275e-02,3.952e+00,1.262e-02,1.408e-05,1.143e-04,0.000e+00,1.90
4100,4100,23829,-7.624e-01,2.300e+00,1.000e-01,3.672e+00,3.334e+00,3.671e+00,0.000e+00,5.343e-05,1.000e+02,1.443e+01,1.100e+00,1.200e+00,6.870e+00,1.536e+00,4.379e+00,1.019e-02,2.481e+00,0.000e+00,-6.871e+00,2.300e+00,1.000e-01,6.772e-02,5.739e+00,6.772e-02,0.000e+00,5.376e-07,0.000e+00,2.40
4200,4200,24260,3.066e+00,2.400e+00,1.000e-01,6.800e+00,3.834e+00,6.800e+00,0.000e+00,2.085e-04,1.000e+02,1.149e+01,1.300e+00,1.200e+00,7.542e+00,4.151e+00,5.162e+00,0.000e+00,2.380e+00,0.000e+00,-7.458e+00,2.100e+00,1.000e-01,9.860e-02,6.456e+00,9.859e-02,1.653e-05,1.354e-08,0.000e+00,2.50
