episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
16000,16000,46944,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,4.150e-09,2.394e-09,4.150e-09,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,2.394e-09,4.150e-09,0.000e+00,0.000e+00,2.394e-09,0.000e+00,2.571e+00,3.889e+00,1.00
16500,16500,48122,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,2.785e-09,1.765e-09,2.785e-09,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,1.765e-09,2.785e-09,0.000e+00,0.000e+00,1.765e-09,0.000e+00,2.571e+00,3.889e+00,1.00
17000,17000,49287,-1.200e+00,-1.200e+00,1.100e+00,1.000e-01,1.911e-09,9.657e-09,1.903e-09,0.000e+00,7.201e-12,1.000e+02,2.571e-01,-1.167e-01,9.800e+00,9.800e+00,1.000e-01,1.100e+00,9.657e-09,1.911e-09,6.744e-09,0.000e+00,2.913e-09,0.000e+00,2.829e+00,3.656e+00,1.20
17500,17500,50448,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,1.160e-09,1.298e-09,1.159e-09,5.902e-13,0.000e+00,1.000e+02,1.286e-01,-7.778e-02,9.900e+00,9.900e+00,0.000e+00,1.100e+00,1.298e-09,1.160e-09,0.000e+00,0.000e+00,1.298e-09,0.000e+00,2.829e+00,3.675e+00,1.10
18000,18000,51589,-1.000e+00,-1.000e+00,1.100e+00,0.000e+00,1.717e-09,2.389e-09,1.717e-09,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,2.389e-09,1.717e-09,0.000e+00,1.292e-09,1.097e-09,0.000e+00,2.700e+00,3.759e+00,1.10
18500,18500,52776,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,1.050e-09,7.515e-10,1.050e-09,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,7.515e-10,1.050e-09,0.000e+00,0.000e+00,7.515e-10,0.000e+00,2.571e+00,3.889e+00,1.00
19000,19000,53941,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,7.107e-10,6.681e-10,7.107e-10,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,6.681e-10,7.107e-10,0.000e+00,0.000e+00,6.681e-10,0.000e+00,2.571e+00,3.889e+00,1.00
19500,19500,55114,-1.000e+00,-1.000e+00,1.200e+00,0.000e+00,1.409e-09,1.156e-09,1.409e-09,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,1.156e-09,1.409e-09,0.000e+00,6.753e-10,4.806e-10,0.000e+00,2.829e+00,3.694e+00,1.20
20000,20000,56279,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,3.784e-10,4.267e-10,3.784e-10,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,4.267e-10,3.784e-10,0.000e+00,0.000e+00,4.267e-10,0.000e+00,2.571e+00,3.889e+00,1.00
20500,20500,57473,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,2.238e-10,3.615e-10,2.238e-10,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,3.615e-10,2.238e-10,0.000e+00,0.000e+00,3.615e-10,0.000e+00,2.571e+00,3.889e+00,1.00
21000,21000,58616,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,1.569e-10,3.284e-10,1.569e-10,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,3.284e-10,1.569e-10,0.000e+00,0.000e+00,3.284e-10,0.000e+00,2.571e+00,3.889e+00,1.00
21500,21500,59786,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,1.012e-10,2.378e-10,1.012e-10,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,2.378e-10,1.012e-10,0.000e+00,0.000e+00,2.378e-10,0.000e+00,2.571e+00,3.889e+00,1.00
22000,22000,60954,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,7.626e-11,2.134e-10,7.626e-11,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,2.134e-10,7.626e-11,0.000e+00,0.000e+00,2.134e-10,0.000e+00,2.571e+00,3.889e+00,1.00
22500,22500,62116,-1.000e+00,-1.000e+00,1.100e+00,0.000e+00,9.831e-11,3.991e-10,9.831e-11,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,3.991e-10,9.831e-11,0.000e+00,2.266e-10,1.725e-10,0.000e+00,2.700e+00,3.759e+00,1.10
23000,23000,63295,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,4.264e-11,1.404e-10,4.264e-11,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,1.404e-10,4.264e-11,0.000e+00,0.000e+00,1.404e-10,0.000e+00,2.571e+00,3.889e+00,1.00
23500,23500,64465,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,3.193e-11,1.225e-10,3.193e-11,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,1.225e-10,3.193e-11,0.000e+00,0.000e+00,1.225e-10,0.000e+00,2.571e+00,3.889e+00,1.00
24000,24000,65621,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,2.435e-11,1.112e-10,2.435e-11,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,1.112e-10,2.435e-11,0.000e+00,0.000e+00,1.112e-10,0.000e+00,2.571e+00,3.889e+00,1.00
24500,24500,66801,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,1.710e-11,9.457e-11,1.710e-11,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,9.457e-11,1.710e-11,0.000e+00,0.000e+00,9.457e-11,0.000e+00,2.571e+00,3.889e+00,1.00
25000,25000,67950,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,1.298e-11,8.648e-11,1.298e-11,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,8.648e-11,1.298e-11,0.000e+00,0.000e+00,8.648e-11,0.000e+00,2.571e+00,3.889e+00,1.00
