episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
17000,17000,124710,3.100e+00,7.500e+00,0.000e+00,2.100e+00,7.316e-07,4.400e+00,0.000e+00,7.206e-07,1.096e-08,8.000e+01,8.100e+00,1.706e+00,2.600e+00,-1.800e+00,1.200e+00,1.300e+00,4.400e+00,7.316e-07,2.399e+00,7.852e-04,2.000e+00,0.000e+00,3.986e+00,-4.569e-01,3.00
17500,17500,127672,4.500e+00,6.500e+00,0.000e+00,2.400e+00,3.135e-07,2.000e+00,0.000e+00,3.078e-07,5.694e-09,7.000e+01,6.786e+00,1.993e+00,6.997e-01,-1.300e+00,9.000e-01,1.600e+00,2.000e+00,3.135e-07,1.800e+00,1.480e-04,2.000e-01,0.000e+00,4.371e+00,-2.964e-01,2.70
18000,18000,130288,5.200e+00,6.600e+00,0.000e+00,2.300e+00,9.404e-10,1.400e+00,0.000e+00,0.000e+00,9.404e-10,7.000e+01,5.914e+00,2.485e+00,2.999e-01,-1.100e+00,7.000e-01,1.500e+00,1.400e+00,9.404e-10,1.400e+00,6.510e-05,1.348e-07,0.000e+00,3.986e+00,-1.020e-01,2.30
18500,18500,132687,7.900e+00,9.900e+00,0.000e+00,1.200e+00,8.160e-10,2.000e+00,0.000e+00,0.000e+00,8.160e-10,1.000e+02,3.086e+00,3.617e+00,7.996e-01,-1.200e+00,1.000e+00,1.000e-01,2.000e+00,8.160e-10,2.000e+00,1.895e-05,1.289e-08,0.000e+00,3.857e-01,-7.778e-02,1.20
19000,19000,134988,6.200e+00,7.800e+00,0.000e+00,1.800e+00,8.672e-10,1.600e+00,0.000e+00,0.000e+00,8.672e-10,8.000e+01,4.629e+00,3.096e+00,5.999e-01,-1.000e+00,8.000e-01,1.000e+00,1.600e+00,8.672e-10,1.600e+00,0.000e+00,9.862e-08,0.000e+00,2.571e+00,-1.556e-02,1.80
19500,19500,137259,7.100e+00,8.700e+00,1.000e-01,1.100e+00,2.000e-01,1.800e+00,2.000e-01,0.000e+00,6.983e-10,1.000e+02,2.829e+00,3.072e+00,1.700e+00,1.000e-01,9.000e-01,1.000e-01,1.800e+00,2.000e-01,1.800e+00,8.193e-05,1.174e-08,0.000e+00,5.143e-01,2.333e-01,1.20
20000,20000,139478,6.100e+00,7.700e+00,0.000e+00,2.000e+00,8.691e-10,1.600e+00,0.000e+00,0.000e+00,8.691e-10,8.000e+01,5.143e+00,2.823e+00,5.000e-01,-1.100e+00,8.000e-01,1.100e+00,1.600e+00,8.691e-10,1.600e+00,3.765e-05,8.695e-08,0.000e+00,2.957e+00,-6.741e-02,2.00
20500,20500,141570,4.400e+00,5.600e+00,0.000e+00,2.600e+00,8.650e-10,1.200e+00,0.000e+00,0.000e+00,8.650e-10,6.000e+01,6.686e+00,2.302e+00,1.116e-05,-1.200e+00,6.000e-01,1.800e+00,1.200e+00,8.650e-10,1.200e+00,4.951e-05,1.277e-07,0.000e+00,4.886e+00,-5.012e-02,2.60
21000,21000,143619,5.000e+00,7.400e+00,0.000e+00,2.400e+00,1.394e-07,2.400e+00,0.000e+00,1.365e-07,2.929e-09,8.000e+01,7.000e+00,2.058e+00,9.000e-01,-1.500e+00,9.000e-01,1.300e+00,2.400e+00,1.394e-07,1.800e+00,1.314e-04,6.000e-01,0.000e+00,3.857e+00,-2.703e-01,2.60
21500,21500,145566,6.100e+00,7.700e+00,0.000e+00,1.900e+00,7.693e-10,1.600e+00,0.000e+00,0.000e+00,7.693e-10,8.000e+01,4.886e+00,2.882e+00,5.000e-01,-1.100e+00,8.000e-01,1.100e+00,1.600e+00,7.693e-10,1.600e+00,0.000e+00,6.788e-08,0.000e+00,2.829e+00,-9.333e-02,1.90
22000,22000,147324,8.000e+00,1.000e+01,0.000e+00,1.000e+00,6.364e-10,2.000e+00,0.000e+00,0.000e+00,6.364e-10,1.000e+02,2.571e+00,3.889e+00,1.000e+00,-1.000e+00,1.000e+00,0.000e+00,2.000e+00,6.364e-10,2.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.00
22500,22500,149069,8.000e+00,1.000e+01,0.000e+00,1.000e+00,4.099e-10,2.000e+00,0.000e+00,0.000e+00,4.099e-10,1.000e+02,2.571e+00,3.889e+00,9.999e-01,-1.000e+00,1.000e+00,0.000e+00,2.000e+00,4.099e-10,2.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.00
23000,23000,150920,7.100e+00,8.900e+00,0.000e+00,1.400e+00,3.342e-10,1.800e+00,0.000e+00,0.000e+00,3.342e-10,9.000e+01,3.600e+00,3.492e+00,8.000e-01,-1.000e+00,9.000e-01,5.000e-01,1.800e+00,3.342e-10,1.800e+00,0.000e+00,3.270e-08,0.000e+00,1.286e+00,-7.778e-03,1.40
23500,23500,152605,7.000e+00,8.800e+00,0.000e+00,1.500e+00,1.847e-10,1.800e+00,0.000e+00,0.000e+00,1.847e-10,9.000e+01,3.857e+00,3.278e+00,7.000e-01,-1.100e+00,9.000e-01,5.000e-01,1.800e+00,1.847e-10,1.800e+00,1.515e-05,3.339e-08,0.000e+00,1.414e+00,-8.642e-02,1.50
24000,24000,154342,7.000e+00,8.800e+00,0.000e+00,1.600e+00,4.970e-10,1.800e+00,0.000e+00,0.000e+00,4.970e-10,9.000e+01,4.114e+00,3.220e+00,7.000e-01,-1.100e+00,9.000e-01,7.000e-01,1.800e+00,4.970e-10,1.800e+00,0.000e+00,3.963e-08,0.000e+00,1.800e+00,-4.667e-02,1.60
24500,24500,155938,7.700e+00,9.900e+00,0.000e+00,1.100e+00,6.928e-08,2.200e+00,0.000e+00,6.840e-08,8.852e-10,1.000e+02,3.014e+00,3.512e+00,1.200e+00,-1.000e+00,1.100e+00,0.000e+00,2.200e+00,6.928e-08,2.200e+00,8.980e-06,0.000e+00,0.000e+00,1.286e-01,-7.778e-02,1.20
25000,25000,157540,7.800e+00,9.800e+00,0.000e+00,1.200e+00,9.706e-10,2.000e+00,0.000e+00,0.000e+00,9.706e-10,1.000e+02,3.086e+00,3.461e+00,1.000e+00,-1.000e+00,1.000e+00,0.000e+00,2.000e+00,9.706e-10,2.000e+00,2.172e-05,0.000e+00,0.000e+00,2.571e-01,-1.556e-01,1.20
