episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
3300,3300,33000,-4.153e-03,0.000e+00,0.000e+00,5.155e-09,4.153e-03,0.000e+00,5.155e-09,0.000e+00,0.000e+00,-5.958e-01,2.000e-01,4.000e-01,4.153e-03,5.155e-09,1.716e-04,3.701e-03,2.800e-04,0.000e+00,5.00
3400,3400,34000,-3.806e-03,0.000e+00,0.000e+00,1.015e-08,3.806e-03,0.000e+00,1.015e-08,0.000e+00,0.000e+00,-1.096e+00,3.000e-01,6.000e-01,3.806e-03,1.015e-08,2.428e-04,3.136e-03,4.274e-04,0.000e+00,5.00
3500,3500,35000,-3.462e-03,0.000e+00,0.000e+00,9.999e-09,3.462e-03,0.000e+00,9.999e-09,0.000e+00,0.000e+00,-1.097e+00,3.000e-01,5.000e-01,3.462e-03,9.999e-09,2.157e-04,2.910e-03,3.364e-04,0.000e+00,5.00
3600,3600,36000,-3.007e-03,0.000e+00,0.000e+00,0.000e+00,3.007e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,-9.970e-01,1.000e-01,7.000e-01,3.007e-03,0.000e+00,7.125e-05,2.559e-03,3.770e-04,0.000e+00,5.00
3700,3700,37000,-2.877e-03,0.000e+00,0.000e+00,9.687e-09,2.877e-03,0.000e+00,9.687e-09,0.000e+00,0.000e+00,-5.971e-01,2.000e-01,1.000e-01,2.877e-03,9.687e-09,1.221e-04,2.706e-03,4.888e-05,0.000e+00,5.00
3800,3800,38000,-2.569e-03,0.000e+00,0.000e+00,4.794e-09,2.569e-03,0.000e+00,4.794e-09,0.000e+00,0.000e+00,-7.974e-01,3.000e-01,3.000e-01,2.569e-03,4.794e-09,1.688e-04,2.259e-03,1.415e-04,0.000e+00,5.00
3900,3900,39000,-2.387e-03,0.000e+00,0.000e+00,9.525e-09,2.387e-03,0.000e+00,9.525e-09,0.000e+00,0.000e+00,-3.976e-01,2.000e-01,1.000e-01,2.387e-03,9.525e-09,1.601e-04,2.185e-03,4.176e-05,0.000e+00,5.00
4000,4000,40000,-2.066e-03,0.000e+00,0.000e+00,0.000e+00,2.066e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,-4.979e-01,0.000e+00,3.000e-01,2.066e-03,0.000e+00,0.000e+00,1.950e-03,1.162e-04,0.000e+00,5.00
4100,4100,41000,-1.883e-03,0.000e+00,0.000e+00,0.000e+00,1.883e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,-1.981e-01,0.000e+00,1.000e-01,1.883e-03,0.000e+00,0.000e+00,1.847e-03,3.589e-05,0.000e+00,5.00
4200,4200,42000,-1.896e-03,0.000e+00,0.000e+00,1.390e-08,1.896e-03,0.000e+00,1.390e-08,0.000e+00,0.000e+00,-5.981e-01,3.000e-01,1.000e-01,1.896e-03,1.390e-08,1.738e-04,1.689e-03,3.338e-05,0.000e+00,5.00
4300,4300,43000,-1.661e-03,0.000e+00,0.000e+00,9.192e-09,1.661e-03,0.000e+00,9.192e-09,0.000e+00,0.000e+00,-3.983e-01,2.000e-01,1.000e-01,1.661e-03,9.192e-09,7.750e-05,1.523e-03,6.078e-05,0.000e+00,5.00
4400,4400,44000,-1.502e-03,0.000e+00,0.000e+00,4.513e-09,1.502e-03,0.000e+00,4.513e-09,0.000e+00,0.000e+00,-4.985e-01,1.000e-01,2.000e-01,1.502e-03,4.513e-09,3.613e-05,1.408e-03,5.801e-05,0.000e+00,5.00
4500,4500,45000,-1.345e-03,0.000e+00,0.000e+00,0.000e+00,1.345e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,-4.987e-01,0.000e+00,3.000e-01,1.345e-03,0.000e+00,0.000e+00,1.264e-03,8.128e-05,0.000e+00,5.00
4600,4600,46000,-1.230e-03,0.000e+00,0.000e+00,0.000e+00,1.230e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,-1.988e-01,0.000e+00,1.000e-01,1.230e-03,0.000e+00,0.000e+00,1.204e-03,2.535e-05,0.000e+00,5.00
4700,4700,47000,-1.179e-03,0.000e+00,0.000e+00,4.416e-09,1.179e-03,0.000e+00,4.416e-09,0.000e+00,0.000e+00,-3.988e-01,1.000e-01,1.000e-01,1.179e-03,4.416e-09,2.958e-05,1.125e-03,2.375e-05,0.000e+00,5.00
4800,4800,48000,-1.056e-03,0.000e+00,0.000e+00,0.000e+00,1.056e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,-3.989e-01,0.000e+00,2.000e-01,1.056e-03,0.000e+00,0.000e+00,1.012e-03,4.443e-05,0.000e+00,5.00
4900,4900,49000,-9.764e-04,0.000e+00,0.000e+00,0.000e+00,9.764e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,-3.990e-01,0.000e+00,2.000e-01,9.764e-04,0.000e+00,0.000e+00,9.348e-04,4.169e-05,0.000e+00,5.00
5000,5000,50000,-8.842e-04,0.000e+00,0.000e+00,0.000e+00,8.842e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.842e-04,0.000e+00,0.000e+00,8.842e-04,0.000e+00,0.000e+00,8.842e-04,0.000e+00,0.000e+00,5.00
5100,5100,51000,-8.374e-04,0.000e+00,0.000e+00,0.000e+00,8.374e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,-3.992e-01,0.000e+00,2.000e-01,8.374e-04,0.000e+00,0.000e+00,8.006e-04,3.679e-05,0.000e+00,5.00
5200,5200,52000,-7.780e-04,0.000e+00,0.000e+00,0.000e+00,7.780e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,-4.992e-01,0.000e+00,3.000e-01,7.780e-04,0.000e+00,0.000e+00,7.266e-04,5.147e-05,0.000e+00,5.00
5300,5300,53000,-7.114e-04,0.000e+00,0.000e+00,0.000e+00,7.114e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,-1.993e-01,0.000e+00,1.000e-01,7.114e-04,0.000e+00,0.000e+00,6.954e-04,1.602e-05,0.000e+00,5.00
5400,5400,54000,-6.822e-04,0.000e+00,0.000e+00,4.029e-09,6.822e-04,0.000e+00,4.029e-09,0.000e+00,0.000e+00,-1.993e-01,1.000e-01,0.000e+00,6.822e-04,4.029e-09,1.896e-05,6.632e-04,0.000e+00,0.000e+00,5.00
5500,5500,55000,-6.426e-04,0.000e+00,0.000e+00,4.000e-09,6.427e-04,0.000e+00,4.000e-09,0.000e+00,0.000e+00,-3.994e-01,1.000e-01,1.000e-01,6.427e-04,4.000e-09,1.786e-05,6.107e-04,1.407e-05,0.000e+00,5.00
5600,5600,56000,-5.630e-04,0.000e+00,0.000e+00,0.000e+00,5.630e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.630e-04,0.000e+00,0.000e+00,5.630e-04,0.000e+00,0.000e+00,5.630e-04,0.000e+00,0.000e+00,5.00
5700,5700,57000,-5.720e-04,0.000e+00,0.000e+00,3.952e-09,5.720e-04,0.000e+00,3.952e-09,0.000e+00,0.000e+00,-4.994e-01,2.000e-01,2.000e-01,5.720e-04,3.952e-09,3.185e-05,5.095e-04,3.060e-05,0.000e+00,5.00
5800,5800,58000,-4.878e-04,0.000e+00,0.000e+00,0.000e+00,4.878e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.878e-04,0.000e+00,0.000e+00,4.878e-04,0.000e+00,0.000e+00,4.878e-04,0.000e+00,0.000e+00,5.00
