episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
2500,2500,17467,2.080e+00,2.000e-01,3.100e+00,1.196e+00,2.716e+00,7.276e-01,5.434e-02,4.136e-01,5.000e+01,-1.046e+00,9.000e-01,1.700e+00,2.159e+00,9.051e-01,1.944e+00,2.208e-02,1.934e-01,0.000e+00,-1.434e+00,3.100e+00,1.000e-01,1.595e+00,1.329e+00,1.594e+00,4.033e-05,1.504e-05,0.000e+00,3.50
2600,2600,18022,7.063e+00,1.000e-01,1.600e+00,7.002e-01,3.037e+00,3.862e-01,0.000e+00,3.140e-01,1.000e+02,7.801e-01,1.100e+00,4.000e-01,2.850e+00,5.703e-01,2.841e+00,8.335e-03,6.387e-04,0.000e+00,-1.043e+00,1.600e+00,1.000e-01,1.656e+00,1.599e+00,1.656e+00,0.000e+00,1.064e-05,0.000e+00,1.70
2700,2700,18565,7.306e+00,0.000e+00,2.600e+00,9.225e-03,1.103e+00,0.000e+00,0.000e+00,9.225e-03,9.000e+01,-1.140e-01,1.000e+00,1.300e+00,1.516e+00,2.955e-02,1.513e+00,2.700e-03,5.348e-05,0.000e+00,-1.792e+00,2.300e+00,1.000e-01,5.220e-01,9.144e-01,5.220e-01,7.420e-06,6.884e-06,0.000e+00,2.60
2800,2800,19065,6.855e+00,0.000e+00,1.300e+00,5.081e-03,2.950e+00,0.000e+00,0.000e+00,5.081e-03,1.000e+02,1.758e+00,1.000e+00,2.000e-01,3.070e+00,1.151e-02,3.070e+00,1.624e-06,1.007e-04,0.000e+00,-1.114e+00,1.300e+00,0.000e+00,1.411e+00,1.524e+00,1.411e+00,0.000e+00,0.000e+00,0.000e+00,1.30
2900,2900,19592,5.622e+00,1.000e-01,2.200e+00,4.939e-01,1.572e+00,3.111e-01,1.155e-02,1.712e-01,8.000e+01,-2.120e-01,1.100e+00,1.100e+00,2.062e+00,2.739e-01,2.029e+00,3.248e-02,8.042e-04,0.000e+00,-2.310e+00,2.200e+00,3.000e-01,7.743e-01,1.484e+00,7.742e-01,1.580e-04,1.143e-05,0.000e+00,2.60
3000,3000,20086,8.212e+00,0.000e+00,2.400e+00,6.549e-03,1.095e+00,0.000e+00,0.000e+00,6.549e-03,1.000e+02,-6.618e-01,1.000e+00,9.000e-01,1.256e+00,1.806e-02,1.230e+00,2.596e-02,3.084e-04,0.000e+00,-1.150e+00,2.400e+00,0.000e+00,5.218e-01,6.717e-01,5.218e-01,0.000e+00,0.000e+00,0.000e+00,2.40
3100,3100,20586,7.914e+00,0.000e+00,1.800e+00,1.476e-02,1.601e+00,0.000e+00,1.066e-02,4.101e-03,1.000e+02,6.448e-01,1.000e+00,3.000e-01,1.888e+00,4.284e-02,1.877e+00,1.069e-02,2.082e-05,0.000e+00,-1.259e+00,1.900e+00,0.000e+00,7.096e-01,9.685e-01,7.096e-01,0.000e+00,0.000e+00,0.000e+00,1.90
3200,3200,21073,8.114e+00,0.000e+00,2.200e+00,3.522e-03,1.289e+00,0.000e+00,0.000e+00,3.522e-03,1.000e+02,-1.097e-01,1.100e+00,7.000e-01,1.699e+00,8.910e-03,1.697e+00,2.269e-03,9.870e-05,0.000e+00,-1.605e+00,2.100e+00,1.000e-01,5.398e-01,9.445e-01,5.398e-01,0.000e+00,1.100e-05,0.000e+00,2.20
3300,3300,21520,7.165e+00,1.000e-01,2.000e+00,5.019e-01,1.737e+00,3.720e-01,1.684e-02,1.130e-01,9.000e+01,3.082e-01,1.100e+00,9.000e-01,2.416e+00,3.082e-01,2.372e+00,2.540e-03,4.166e-02,0.000e+00,-1.873e+00,2.100e+00,0.000e+00,7.286e-01,1.602e+00,7.285e-01,4.184e-05,0.000e+00,0.000e+00,2.20
3400,3400,21990,7.894e+00,0.000e+00,2.000e+00,1.806e-02,1.624e+00,0.000e+00,0.000e+00,1.806e-02,1.000e+02,1.000e-01,1.000e+00,7.000e-01,1.912e+00,1.229e-02,1.909e+00,2.748e-03,9.632e-05,0.000e+00,-1.494e+00,1.800e+00,0.000e+00,6.822e-01,9.762e-01,6.822e-01,3.794e-06,0.000e+00,0.000e+00,2.00
3500,3500,22440,7.944e+00,0.000e+00,1.600e+00,1.326e-02,1.569e+00,0.000e+00,8.895e-03,4.369e-03,1.000e+02,4.770e-01,1.000e+00,6.000e-01,1.900e+00,2.326e-02,1.898e+00,1.968e-03,9.517e-05,0.000e+00,-1.321e+00,1.700e+00,0.000e+00,6.326e-01,9.539e-01,6.326e-01,0.000e+00,0.000e+00,0.000e+00,1.70
3600,3600,22857,7.447e+00,0.000e+00,2.000e+00,1.935e-02,9.720e-01,0.000e+00,1.285e-02,6.504e-03,9.000e+01,-6.874e-02,9.000e-01,1.000e+00,1.464e+00,3.255e-02,1.463e+00,1.150e-03,4.765e-05,0.000e+00,-1.679e+00,2.000e+00,1.000e-01,2.832e-01,7.618e-01,2.832e-01,0.000e+00,4.014e-06,0.000e+00,2.10
3700,3700,23305,7.861e+00,0.000e+00,1.600e+00,1.073e-01,1.747e+00,0.000e+00,2.672e-02,8.058e-02,1.000e+02,1.611e+00,1.200e+00,3.000e-01,2.932e+00,2.040e-02,2.901e+00,3.061e-02,2.508e-04,0.000e+00,-2.472e+00,1.600e+00,0.000e+00,4.819e-01,1.754e+00,4.819e-01,5.104e-06,0.000e+00,0.000e+00,1.70
3800,3800,23688,8.204e+00,0.000e+00,2.100e+00,3.201e-02,1.328e+00,0.000e+00,0.000e+00,3.201e-02,1.000e+02,7.956e-01,1.200e+00,5.000e-01,2.205e+00,9.192e-03,2.156e+00,4.827e-02,2.377e-04,0.000e+00,-2.499e+00,1.800e+00,1.000e-01,3.840e-01,1.283e+00,3.840e-01,6.124e-06,2.664e-06,0.000e+00,2.10
3900,3900,24050,7.996e+00,0.000e+00,1.200e+00,2.135e-02,1.826e+00,0.000e+00,0.000e+00,2.135e-02,1.000e+02,1.858e+00,1.000e+00,2.000e-01,3.060e+00,2.374e-03,3.060e+00,0.000e+00,3.410e-05,0.000e+00,-2.253e+00,1.200e+00,0.000e+00,3.468e-01,1.600e+00,3.468e-01,0.000e+00,0.000e+00,0.000e+00,1.20
4000,4000,24406,8.230e+00,0.000e+00,1.700e+00,6.776e-03,1.076e+00,0.000e+00,1.073e-03,5.703e-03,1.000e+02,2.750e-01,1.000e+00,5.000e-01,1.689e+00,1.373e-02,1.683e+00,5.966e-03,9.729e-05,0.000e+00,-1.605e+00,1.800e+00,0.000e+00,2.176e-01,8.231e-01,2.176e-01,0.000e+00,0.000e+00,0.000e+00,1.80
4100,4100,24799,8.384e+00,0.000e+00,1.900e+00,1.155e-02,1.127e+00,0.000e+00,0.000e+00,1.155e-02,1.000e+02,8.562e-01,1.100e+00,4.000e-01,2.159e+00,3.087e-03,2.145e+00,1.386e-02,4.676e-05,0.000e+00,-2.241e+00,1.800e+00,1.000e-01,1.708e-01,1.211e+00,1.708e-01,0.000e+00,7.930e-07,0.000e+00,1.90
