episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
3300,3300,20217,2.017e+00,8.000e-01,4.000e-01,1.408e+00,3.914e-01,1.408e+00,7.051e-04,7.327e-06,1.000e+02,6.483e+00,2.000e-01,1.200e+00,3.914e-01,1.408e+00,3.861e-01,4.193e-03,1.131e-03,0.000e+00,1.60
3400,3400,20835,-1.300e+00,1.200e+00,5.000e-01,3.008e+00,3.308e+00,2.390e+00,6.180e-01,2.828e-04,9.000e+01,6.800e+00,8.000e-01,1.800e+00,3.308e+00,3.008e+00,1.535e+00,1.971e-01,1.576e+00,0.000e+00,3.00
3500,3500,21440,-1.318e+00,9.000e-01,1.000e+00,1.803e+00,8.212e-01,1.615e+00,1.392e-02,1.745e-01,7.000e+01,4.818e+00,5.000e-01,2.300e+00,8.212e-01,1.803e+00,6.098e-01,3.873e-03,2.075e-01,0.000e+00,3.20
3600,3600,21996,9.587e-02,8.000e-01,1.000e+00,2.087e+00,3.191e+00,1.587e+00,4.128e-01,8.776e-02,7.000e+01,3.604e+00,7.000e-01,1.800e+00,3.191e+00,2.087e+00,1.391e+00,6.033e-01,1.197e+00,0.000e+00,3.10
3700,3700,22562,-1.779e-01,1.300e+00,9.000e-01,2.325e+00,4.033e-01,2.164e+00,1.257e-01,3.593e-02,8.000e+01,4.978e+00,1.000e-01,1.900e+00,4.033e-01,2.325e+00,1.887e-01,1.551e-02,1.991e-01,0.000e+00,3.00
3800,3800,23102,-1.130e+00,1.200e+00,9.000e-01,1.981e+00,6.110e-01,1.615e+00,3.368e-01,2.888e-02,7.000e+01,4.430e+00,1.000e-01,2.000e+00,6.110e-01,1.981e+00,1.884e-01,2.524e-02,3.973e-01,0.000e+00,2.80
3900,3900,23692,-1.400e+00,1.000e+00,9.000e-01,2.005e+00,1.405e+00,1.802e+00,2.030e-01,2.437e-05,7.000e+01,5.100e+00,2.000e-01,2.500e+00,1.405e+00,2.005e+00,3.981e-01,4.073e-01,5.992e-01,0.000e+00,3.40
4000,4000,24261,-2.753e+00,9.000e-01,7.000e-01,2.032e+00,2.885e+00,1.632e+00,4.006e-01,2.632e-04,6.000e+01,5.153e+00,8.000e-01,2.100e+00,2.885e+00,2.032e+00,1.266e+00,2.013e-01,1.417e+00,0.000e+00,3.10
4100,4100,24885,-1.337e+00,1.100e+00,7.000e-01,2.069e+00,1.606e+00,1.864e+00,2.049e-01,2.252e-04,9.000e+01,7.537e+00,2.000e-01,1.800e+00,1.606e+00,2.069e+00,3.910e-01,1.923e-02,1.195e+00,0.000e+00,2.40
4200,4200,25475,1.109e+00,1.100e+00,5.000e-01,2.608e+00,1.999e+00,2.197e+00,2.209e-01,1.900e-01,9.000e+01,4.991e+00,6.000e-01,2.100e+00,1.999e+00,2.608e+00,1.196e+00,7.375e-03,7.951e-01,0.000e+00,3.00
4300,4300,26060,-2.317e+00,9.000e-01,1.500e+00,1.635e+00,1.851e+00,1.607e+00,3.934e-03,2.357e-02,6.000e+01,4.517e+00,5.000e-01,2.500e+00,1.851e+00,1.635e+00,6.334e-01,1.267e-02,1.205e+00,0.000e+00,3.40
4400,4400,26657,6.493e-01,9.000e-01,6.000e-01,1.764e+00,6.148e-01,1.762e+00,6.658e-04,1.856e-03,9.000e+01,5.851e+00,2.000e-01,1.900e+00,6.148e-01,1.764e+00,2.213e-01,2.133e-03,3.914e-01,0.000e+00,2.30
4500,4500,27224,-1.439e+00,6.000e-01,2.000e+00,9.407e-01,2.180e+00,7.500e-01,1.907e-01,1.481e-05,6.000e+01,3.239e+00,6.000e-01,2.700e+00,2.180e+00,9.407e-01,8.063e-01,1.420e-03,1.372e+00,0.000e+00,3.80
