episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
18000,18000,88820,-1.766e-05,0.000e+00,0.000e+00,0.000e+00,6.495e-10,1.766e-05,0.000e+00,6.495e-10,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,4.900e+00,0.000e+00,1.766e-05,6.495e-10,1.766e-05,1.263e-10,0.000e+00,0.000e+00,1.286e-01,-7.778e-02,5.00
18500,18500,90875,-1.322e-05,0.000e+00,0.000e+00,0.000e+00,5.620e-10,1.322e-05,0.000e+00,5.620e-10,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,5.000e+00,0.000e+00,1.322e-05,5.620e-10,1.322e-05,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
19000,19000,92760,-9.997e-06,0.000e+00,0.000e+00,0.000e+00,3.495e-10,9.997e-06,0.000e+00,3.495e-10,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,5.000e+00,0.000e+00,9.997e-06,3.495e-10,9.997e-06,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
19500,19500,94615,-7.232e-06,0.000e+00,0.000e+00,0.000e+00,2.092e-10,7.232e-06,0.000e+00,2.092e-10,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,4.900e+00,0.000e+00,7.232e-06,2.092e-10,7.232e-06,5.312e-11,0.000e+00,0.000e+00,1.286e-01,-7.778e-02,5.00
20000,20000,96580,-5.578e-06,0.000e+00,0.000e+00,0.000e+00,1.867e-10,5.579e-06,0.000e+00,1.867e-10,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,5.000e+00,0.000e+00,5.579e-06,1.867e-10,5.579e-06,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
20500,20500,98535,-4.147e-06,0.000e+00,0.000e+00,0.000e+00,1.455e-10,4.147e-06,0.000e+00,1.455e-10,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,5.000e+00,0.000e+00,4.147e-06,1.455e-10,4.147e-06,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
21000,21000,100469,-3.660e-06,0.000e+00,0.000e+00,0.000e+00,7.535e-11,3.660e-06,0.000e+00,7.535e-11,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.100e+00,-1.100e+00,4.900e+00,0.000e+00,3.660e-06,7.535e-11,3.660e-06,2.307e-10,0.000e+00,0.000e+00,1.286e-01,-1.556e-01,5.00
21500,21500,102379,-2.607e-06,0.000e+00,0.000e+00,0.000e+00,5.024e-11,2.607e-06,0.000e+00,5.024e-11,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.200e+00,-1.200e+00,4.900e+00,0.000e+00,2.607e-06,5.024e-11,2.607e-06,1.685e-10,0.000e+00,0.000e+00,1.286e-01,-2.333e-01,5.00
22000,22000,104279,-2.047e-06,0.000e+00,0.000e+00,0.000e+00,5.181e-11,2.047e-06,0.000e+00,5.181e-11,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.200e+00,-1.200e+00,4.900e+00,0.000e+00,2.047e-06,5.181e-11,2.047e-06,1.336e-10,0.000e+00,0.000e+00,1.286e-01,-2.333e-01,5.00
22500,22500,106195,-1.574e-06,0.000e+00,0.000e+00,0.000e+00,4.459e-11,1.574e-06,0.000e+00,4.459e-11,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,5.000e+00,0.000e+00,1.574e-06,4.459e-11,1.574e-06,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
23000,23000,108085,-1.184e-06,0.000e+00,0.000e+00,0.000e+00,4.193e-11,1.184e-06,0.000e+00,4.193e-11,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,5.000e+00,0.000e+00,1.184e-06,4.193e-11,1.184e-06,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
23500,23500,110075,-8.917e-07,0.000e+00,0.000e+00,0.000e+00,8.867e-11,8.918e-07,0.000e+00,8.867e-11,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,5.000e+00,0.000e+00,8.918e-07,8.867e-11,8.918e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
24000,24000,112075,-6.619e-07,0.000e+00,0.000e+00,0.000e+00,2.768e-11,6.619e-07,0.000e+00,2.768e-11,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,5.000e+00,0.000e+00,6.619e-07,2.768e-11,6.619e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
24500,24500,114050,-4.810e-07,0.000e+00,0.000e+00,0.000e+00,1.158e-11,4.810e-07,0.000e+00,1.158e-11,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,4.900e+00,0.000e+00,4.810e-07,1.158e-11,4.810e-07,4.161e-12,0.000e+00,0.000e+00,1.286e-01,-7.778e-02,5.00
25000,25000,116130,-3.787e-07,0.000e+00,0.000e+00,0.000e+00,8.636e-12,3.787e-07,0.000e+00,8.636e-12,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,5.000e+00,0.000e+00,3.787e-07,8.636e-12,3.787e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
