episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A2_reward_total,A2_n_lever,A2_n_door,steps_per_eps
18200,18200,78847,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
18300,18300,79297,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
18400,18400,79725,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
18500,18500,80194,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
18600,18600,80626,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
18700,18700,81059,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
18800,18800,81514,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
18900,18900,81963,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
19000,19000,82378,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
19100,19100,82796,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
19200,19200,83226,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
19300,19300,83683,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
19400,19400,84131,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
19500,19500,84578,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
19600,19600,84994,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
19700,19700,85410,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
19800,19800,85860,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
19900,19900,86314,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
20000,20000,86756,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
