episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
7700,7700,39984,7.204e+00,0.000e+00,1.500e+00,4.276e-07,1.596e+00,0.000e+00,0.000e+00,4.276e-07,9.000e+01,3.965e-01,9.000e-01,5.000e-01,1.596e+00,4.276e-07,1.596e+00,1.566e-08,1.020e-05,0.000e+00,1.50
7800,7800,40348,8.107e+00,0.000e+00,1.800e+00,4.286e-07,1.593e+00,0.000e+00,0.000e+00,4.286e-07,1.000e+02,-6.518e-03,1.000e+00,5.000e-01,1.593e+00,4.286e-07,1.593e+00,1.171e-05,1.190e-05,0.000e+00,1.80
7900,7900,40708,8.108e+00,0.000e+00,1.300e+00,3.788e-06,1.592e+00,0.000e+00,3.352e-06,4.367e-07,1.000e+02,3.923e-01,1.000e+00,3.000e-01,1.592e+00,3.788e-06,1.592e+00,9.810e-06,4.615e-06,0.000e+00,1.40
8000,8000,41057,7.923e+00,0.000e+00,1.300e+00,3.379e-07,1.777e+00,0.000e+00,0.000e+00,3.379e-07,1.000e+02,6.765e-01,1.000e+00,1.000e-01,1.777e+00,3.379e-07,1.777e+00,1.425e-05,2.554e-06,0.000e+00,1.30
8100,8100,41388,8.120e+00,0.000e+00,1.300e+00,3.481e-07,1.780e+00,0.000e+00,0.000e+00,3.481e-07,1.000e+02,6.797e-01,1.000e+00,3.000e-01,1.780e+00,3.481e-07,1.780e+00,0.000e+00,2.452e-06,0.000e+00,1.30
8200,8200,41734,7.373e+00,0.000e+00,1.600e+00,3.122e-07,1.327e+00,0.000e+00,0.000e+00,3.122e-07,9.000e+01,2.272e-01,9.000e-01,5.000e-01,1.327e+00,3.122e-07,1.327e+00,1.660e-06,2.251e-07,0.000e+00,1.60
8300,8300,42056,9.343e+00,0.000e+00,1.500e+00,1.655e-07,4.569e-01,0.000e+00,0.000e+00,1.655e-07,1.000e+02,-8.431e-01,1.000e+00,4.000e-01,4.569e-01,1.655e-07,4.569e-01,0.000e+00,4.950e-08,0.000e+00,1.50
8400,8400,42400,9.803e+00,0.000e+00,1.200e+00,1.483e-07,9.664e-02,0.000e+00,0.000e+00,1.483e-07,1.000e+02,-1.003e+00,1.000e+00,1.000e-01,9.664e-02,1.483e-07,9.664e-02,4.613e-08,0.000e+00,0.000e+00,1.20
8500,8500,42716,9.657e+00,0.000e+00,1.600e+00,1.579e-07,1.431e-01,0.000e+00,0.000e+00,1.579e-07,1.000e+02,-1.057e+00,1.000e+00,4.000e-01,1.431e-01,1.579e-07,1.431e-01,1.416e-07,0.000e+00,0.000e+00,1.60
8600,8600,43046,9.374e+00,0.000e+00,1.900e+00,1.538e-07,2.589e-02,0.000e+00,0.000e+00,1.538e-07,1.000e+02,-1.274e+00,1.000e+00,4.000e-01,2.589e-02,1.538e-07,2.589e-02,1.304e-07,8.970e-09,0.000e+00,1.90
8700,8700,43355,9.792e+00,0.000e+00,1.200e+00,1.315e-07,8.263e-03,0.000e+00,0.000e+00,1.315e-07,1.000e+02,-9.917e-01,1.000e+00,0.000e+00,8.263e-03,1.315e-07,8.263e-03,1.838e-08,0.000e+00,0.000e+00,1.20
8800,8800,43676,9.894e+00,0.000e+00,1.100e+00,1.310e-07,6.262e-03,0.000e+00,0.000e+00,1.310e-07,1.000e+02,-9.937e-01,1.000e+00,0.000e+00,6.262e-03,1.310e-07,6.262e-03,6.646e-09,0.000e+00,0.000e+00,1.10
8900,8900,43979,9.797e+00,0.000e+00,1.300e+00,1.290e-07,3.404e-03,0.000e+00,0.000e+00,1.290e-07,1.000e+02,-1.197e+00,1.000e+00,1.000e-01,3.404e-03,1.290e-07,3.404e-03,4.468e-09,0.000e+00,0.000e+00,1.30
9000,9000,44318,9.896e+00,0.000e+00,1.300e+00,2.968e-06,4.063e-03,0.000e+00,2.617e-06,3.509e-07,1.000e+02,-1.296e+00,1.100e+00,2.000e-01,4.063e-03,2.968e-06,4.063e-03,0.000e+00,3.296e-08,0.000e+00,1.40
9100,9100,44617,9.797e+00,0.000e+00,1.400e+00,1.232e-07,3.158e-03,0.000e+00,0.000e+00,1.232e-07,1.000e+02,-9.968e-01,1.000e+00,0.000e+00,3.158e-03,1.232e-07,3.158e-03,8.197e-09,0.000e+00,0.000e+00,1.40
9200,9200,44940,9.896e+00,0.000e+00,1.100e+00,1.193e-07,4.162e-03,0.000e+00,0.000e+00,1.193e-07,1.000e+02,-1.096e+00,1.000e+00,1.000e-01,4.162e-03,1.193e-07,4.162e-03,0.000e+00,0.000e+00,0.000e+00,1.10
9300,9300,45272,9.897e+00,0.000e+00,1.200e+00,1.111e-07,3.272e-03,0.000e+00,0.000e+00,1.111e-07,1.000e+02,-1.097e+00,1.000e+00,1.000e-01,3.272e-03,1.111e-07,3.272e-03,3.818e-09,0.000e+00,0.000e+00,1.20
9400,9400,45580,9.797e+00,0.000e+00,1.400e+00,1.092e-07,2.765e-03,0.000e+00,0.000e+00,1.092e-07,1.000e+02,-1.197e+00,1.000e+00,1.000e-01,2.765e-03,1.092e-07,2.765e-03,3.511e-09,0.000e+00,0.000e+00,1.40
9500,9500,45917,9.797e+00,0.000e+00,1.200e+00,1.080e-07,2.921e-03,0.000e+00,0.000e+00,1.080e-07,1.000e+02,-1.097e+00,1.000e+00,1.000e-01,2.921e-03,1.080e-07,2.921e-03,3.627e-09,0.000e+00,0.000e+00,1.20
