episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
13500,13500,86250,7.300e+00,9.300e+00,0.000e+00,2.200e+00,2.469e-07,2.000e+00,0.000e+00,5.743e-08,1.895e-07,1.000e+02,5.786e+00,2.029e+00,5.003e-01,-1.500e+00,1.000e+00,8.000e-01,2.000e+00,2.469e-07,2.000e+00,5.009e-04,9.537e-09,0.000e+00,2.700e+00,-4.848e-01,2.30
14000,14000,88638,7.400e+00,9.400e+00,0.000e+00,2.000e+00,1.084e-07,2.000e+00,0.000e+00,0.000e+00,1.084e-07,1.000e+02,5.143e+00,2.372e+00,5.999e-01,-1.400e+00,1.000e+00,6.000e-01,2.000e+00,1.084e-07,2.000e+00,1.123e-04,4.417e-09,0.000e+00,2.057e+00,-3.241e-01,2.00
14500,14500,90883,5.900e+00,7.500e+00,0.000e+00,2.600e+00,1.445e-07,1.600e+00,0.000e+00,0.000e+00,1.445e-07,8.000e+01,6.686e+00,2.261e+00,2.003e-01,-1.400e+00,8.000e-01,1.500e+00,1.600e+00,1.445e-07,1.600e+00,3.690e-04,2.497e-08,0.000e+00,4.243e+00,-1.502e-01,2.60
15000,15000,93054,7.299e+00,9.300e+00,0.000e+00,2.300e+00,7.323e-08,2.001e+00,0.000e+00,0.000e+00,7.323e-08,1.000e+02,5.915e+00,2.112e+00,5.010e-01,-1.500e+00,1.000e+00,9.000e-01,2.001e+00,7.323e-08,2.000e+00,1.005e-03,3.491e-07,0.000e+00,2.829e+00,-3.824e-01,2.30
15500,15500,95160,6.000e+00,7.600e+00,0.000e+00,2.100e+00,4.311e-08,1.600e+00,0.000e+00,0.000e+00,4.311e-08,8.000e+01,5.400e+00,2.609e+00,2.001e-01,-1.400e+00,8.000e-01,1.100e+00,1.600e+00,4.311e-08,1.600e+00,8.981e-05,3.011e-07,0.000e+00,3.086e+00,-1.536e-01,2.10
16000,16000,97218,5.700e+00,8.500e+00,1.000e-01,1.800e+00,2.325e-04,2.800e+00,2.142e-04,0.000e+00,1.827e-05,9.000e+01,5.200e+00,2.729e+00,1.400e+00,-1.400e+00,1.000e+00,5.000e-01,2.800e+00,2.325e-04,2.000e+00,2.001e-01,6.000e-01,0.000e+00,1.800e+00,-2.018e-01,1.90
16500,16500,99305,7.700e+00,9.700e+00,0.000e+00,1.800e+00,1.310e-08,2.000e+00,0.000e+00,0.000e+00,1.310e-08,1.000e+02,4.629e+00,3.014e+00,6.000e-01,-1.400e+00,1.000e+00,7.000e-01,2.000e+00,1.310e-08,2.000e+00,5.615e-06,9.566e-08,0.000e+00,1.929e+00,-1.115e-01,1.80
17000,17000,101426,6.800e+00,8.600e+00,0.000e+00,1.700e+00,3.526e-08,1.800e+00,0.000e+00,0.000e+00,3.526e-08,9.000e+01,4.371e+00,2.851e+00,6.000e-01,-1.200e+00,9.000e-01,7.000e-01,1.800e+00,3.526e-08,1.800e+00,2.404e-05,9.998e-08,0.000e+00,1.929e+00,-2.411e-01,1.70
17500,17500,103468,7.700e+00,9.700e+00,0.000e+00,1.800e+00,2.010e-08,2.000e+00,0.000e+00,0.000e+00,2.010e-08,1.000e+02,4.629e+00,3.055e+00,8.000e-01,-1.200e+00,1.000e+00,7.000e-01,2.000e+00,2.010e-08,2.000e+00,1.848e-05,8.744e-08,0.000e+00,1.929e+00,-1.231e-01,1.80
18000,18000,105414,7.600e+00,9.600e+00,0.000e+00,1.600e+00,6.757e-09,2.000e+00,0.000e+00,0.000e+00,6.757e-09,1.000e+02,4.114e+00,2.917e+00,9.000e-01,-1.100e+00,1.000e+00,1.000e-01,2.000e+00,6.757e-09,2.000e+00,6.694e-05,2.422e-08,0.000e+00,9.000e-01,-2.463e-01,1.60
18500,18500,107336,6.700e+00,8.500e+00,0.000e+00,2.000e+00,7.055e-09,1.800e+00,0.000e+00,0.000e+00,7.055e-09,9.000e+01,5.143e+00,2.520e+00,6.000e-01,-1.200e+00,9.000e-01,8.000e-01,1.800e+00,7.055e-09,1.800e+00,2.356e-05,7.102e-08,0.000e+00,2.443e+00,-2.411e-01,2.00
19000,19000,109238,7.800e+00,9.800e+00,0.000e+00,1.300e+00,3.828e-09,2.000e+00,0.000e+00,0.000e+00,3.828e-09,1.000e+02,3.343e+00,3.403e+00,7.998e-01,-1.200e+00,1.000e+00,3.000e-01,2.000e+00,3.828e-09,2.000e+00,0.000e+00,2.329e-08,0.000e+00,7.714e-01,-1.167e-01,1.30
19500,19500,111123,9.378e+00,9.400e+00,0.000e+00,1.900e+00,1.377e-11,2.199e-02,0.000e+00,0.000e+00,1.377e-11,1.000e+02,4.886e+00,2.460e+00,-1.478e+00,-1.500e+00,1.000e+00,6.000e-01,2.199e-02,1.377e-11,2.199e-02,8.269e-08,4.765e-10,0.000e+00,1.929e+00,-4.148e-01,1.90
20000,20000,112975,8.499e+00,8.500e+00,0.000e+00,2.000e+00,8.579e-13,1.410e-03,0.000e+00,0.000e+00,8.579e-13,9.000e+01,5.143e+00,2.549e+00,-1.099e+00,-1.100e+00,9.000e-01,8.000e-01,1.410e-03,8.579e-13,1.410e-03,7.838e-09,1.086e-11,0.000e+00,2.443e+00,-2.670e-01,2.00
20500,20500,114954,9.699e+00,9.700e+00,0.000e+00,1.500e+00,1.175e-13,1.450e-03,0.000e+00,0.000e+00,1.175e-13,1.000e+02,3.857e+00,3.160e+00,-1.099e+00,-1.100e+00,1.000e+00,3.000e-01,1.450e-03,1.175e-13,1.450e-03,9.193e-09,3.662e-12,0.000e+00,1.029e+00,-1.815e-01,1.50
21000,21000,116822,9.696e+00,9.700e+00,0.000e+00,1.600e+00,1.211e-13,3.716e-03,0.000e+00,0.000e+00,1.211e-13,1.000e+02,4.114e+00,3.142e+00,-1.496e+00,-1.500e+00,1.000e+00,3.000e-01,3.716e-03,1.211e-13,3.716e-03,5.674e-10,3.033e-12,0.000e+00,1.157e+00,-2.204e-01,1.60
21500,21500,118674,7.242e+00,8.800e+00,0.000e+00,1.700e+00,1.136e-13,1.558e+00,0.000e+00,0.000e+00,1.136e-13,9.000e+01,4.372e+00,3.191e+00,4.579e-01,-1.100e+00,9.000e-01,7.000e-01,1.558e+00,1.136e-13,1.558e+00,1.708e-04,4.085e-08,0.000e+00,1.929e+00,-3.889e-02,1.70
22000,22000,120564,7.220e+00,8.800e+00,0.000e+00,1.500e+00,1.280e-13,1.580e+00,0.000e+00,7.969e-14,4.835e-14,9.000e+01,3.986e+00,3.243e+00,4.800e-01,-1.100e+00,9.000e-01,7.000e-01,1.580e+00,1.280e-13,1.580e+00,0.000e+00,1.958e-08,0.000e+00,1.800e+00,-4.667e-02,1.60
22500,22500,122238,8.124e+00,9.900e+00,0.000e+00,1.100e+00,9.094e-15,1.776e+00,0.000e+00,0.000e+00,9.094e-15,1.000e+02,2.829e+00,3.675e+00,6.763e-01,-1.100e+00,1.000e+00,1.000e-01,1.776e+00,9.094e-15,1.776e+00,0.000e+00,3.157e-09,0.000e+00,2.571e-01,-7.778e-02,1.10
23000,23000,123985,7.507e+00,8.600e+00,0.000e+00,2.000e+00,3.530e-14,1.093e+00,0.000e+00,0.000e+00,3.530e-14,9.000e+01,5.143e+00,2.746e+00,-7.295e-03,-1.100e+00,9.000e-01,9.000e-01,1.093e+00,3.530e-14,1.093e+00,1.210e-06,2.335e-11,0.000e+00,2.571e+00,-1.828e-01,2.00
23500,23500,125574,7.216e+00,8.900e+00,0.000e+00,1.400e+00,1.631e-14,1.684e+00,0.000e+00,0.000e+00,1.631e-14,9.000e+01,3.600e+00,3.492e+00,6.838e-01,-1.000e+00,9.000e-01,5.000e-01,1.684e+00,1.631e-14,1.684e+00,0.000e+00,1.924e-12,0.000e+00,1.286e+00,-7.778e-03,1.40
24000,24000,127158,8.157e+00,9.900e+00,0.000e+00,1.300e+00,1.207e-14,1.743e+00,0.000e+00,0.000e+00,1.207e-14,1.000e+02,3.343e+00,3.587e+00,6.428e-01,-1.100e+00,1.000e+00,3.000e-01,1.743e+00,1.207e-14,1.743e+00,0.000e+00,1.954e-12,0.000e+00,7.714e-01,-2.593e-02,1.30
24500,24500,128830,8.168e+00,9.900e+00,0.000e+00,1.200e+00,9.481e-15,1.732e+00,0.000e+00,0.000e+00,9.481e-15,1.000e+02,3.086e+00,3.617e+00,6.316e-01,-1.100e+00,1.000e+00,2.000e-01,1.732e+00,9.481e-15,1.732e+00,0.000e+00,1.530e-12,0.000e+00,5.143e-01,-3.889e-02,1.20
25000,25000,130334,7.138e+00,8.900e+00,0.000e+00,1.400e+00,8.736e-15,1.762e+00,0.000e+00,0.000e+00,8.736e-15,9.000e+01,3.600e+00,3.492e+00,7.624e-01,-1.000e+00,9.000e-01,5.000e-01,1.762e+00,8.736e-15,1.762e+00,0.000e+00,1.731e-12,0.000e+00,1.286e+00,-7.778e-03,1.40
